#userId,itemId
1,40
1,5
2,28
2,43
2,37
2,20
3,18
3,20
3,19
3,35
4,18
4,40
4,2
4,20
4,7
4,36
5,46
5,1
5,28
5,11
5,16
5,0
5,48
6,19
6,18
6,41
6,2
6,39
6,13
6,38
6,0
6,18
7,14
7,32
7,17
7,37
8,31
8,13
8,21
8,35
8,31
9,38
9,28
9,8
9,27
12,33
12,12
12,16
12,18
12,49
12,47
12,41
13,11
13,25
13,29
13,35
13,43
13,21
13,30
13,48
15,32
15,29
15,11
15,38
15,15
16,32
17,27
17,4
17,47
17,46
17,29
17,1
17,24
17,44
17,17
18,5
18,0
19,38
19,6
19,10
19,17
19,46
19,16
19,28
19,7
20,44
20,38
20,45
20,37
20,19
20,47
21,27
22,9
22,21
22,12
22,41
22,0
22,26
22,41
22,18
23,11
23,49
23,43
23,27
23,25
23,40
24,11
24,1
24,9
24,8
24,18
24,26
25,21
25,16
25,25
25,37
25,41
27,20
27,21
27,11
27,22
27,16
27,4
28,41
28,27
28,36
29,8
29,35
29,7
29,14
30,35
30,41
30,17
30,37
31,30
31,31
33,9
34,15
34,36
34,40
35,46
36,32
36,25
36,24
36,21
36,7
36,5
37,30
37,34
37,34
37,18
37,18
37,49
37,40
38,27
38,1
38,8
38,8
39,30
39,34
39,21
39,7
39,43
40,21
40,5
40,32
41,19
41,0
41,14
42,47
42,42
42,46
42,49
42,20
43,9
43,47
43,33
44,39
44,19
44,9
44,43
45,26
45,45
45,43
47,0
47,18
47,26
47,25
47,37
47,13
48,2
49,35
49,37
49,43
49,13
49,17
49,34
50,23
50,12
50,42
50,35
50,36
50,5
50,24
50,16
51,48
52,1
52,25
52,40
52,17
53,25
53,39
53,21
53,17
53,22
53,29
53,29
55,3
55,16
55,49
55,3
55,49
55,7
55,3
55,0
56,10
56,18
56,44
56,32
56,4
56,23
56,8
56,3
57,38
58,5
58,46
58,44
58,41
58,37
58,22
58,8
58,27
58,46
59,41
59,48
59,37
59,5
59,35
59,15
59,12
59,38
60,19
60,46
60,2
60,16
61,41
61,40
61,18
61,18
61,5
62,30
62,36
62,49
62,4
62,19
63,47
63,40
63,13
64,39
64,38
64,29
64,12
64,17
64,7
64,2
66,39
66,13
66,27
66,43
66,48
66,32
66,12
66,1
66,29
67,38
67,48
69,47
69,16
70,11
70,30
70,31
70,47
70,25
70,10
70,9
70,49
71,6
71,45
71,9
71,22
71,46
71,16
71,27
72,36
72,29
72,7
72,2
72,45
72,18
72,4
73,29
73,30
73,47
73,7
73,45
74,28
75,2
75,5
76,31
76,28
76,19
76,2
76,48
76,11
76,36
77,46
77,38
77,0
77,2
77,3
77,10
77,33
78,23
78,28
78,45
78,39
78,15
78,26
78,19
78,19
80,38
80,33
80,0
80,16
80,22
80,39
80,41
81,16
82,18
82,23
82,0
82,16
82,16
82,25
82,6
82,47
83,46
83,8
83,17
83,15
83,11
83,3
83,12
83,1
83,21
84,33
84,27
85,49
85,29
85,33
86,14
86,24
86,49
86,21
87,26
87,21
87,42
87,1
87,38
87,5
88,12
88,6
88,28
88,34
88,40
89,14
89,46
89,31
91,22
91,26
91,44
91,35
91,3
91,27
91,7
92,15
92,19
92,23
92,2
92,33
92,10
92,7
92,15
93,11
93,10
93,46
93,10
93,26
93,44
93,46
93,21
94,31
94,1
94,28
94,20
94,8
94,35
94,37
95,0
95,29
95,6
95,44
95,16
95,6
96,21
96,9
96,3
96,16
96,10
96,13
96,38
96,22
98,35
98,26
99,33
99,41
99,1
100,26
100,11

